mesh_heading,tree_number,major_tree_number,major_mesh_heading
Anaplasmataceae Infections,C01.150.252.400.054,C01,Infections
Anaplasmosis,C01.150.252.400.054.500,C01,Infections
Ehrlichiosis,C01.150.252.400.054.750,C01,Infections
Heartwater Disease,C01.150.252.400.054.750.500,C01,Infections
Anaplasmosis,C01.150.252.400.082,C01,Infections
Bacteroidaceae Infections,C01.150.252.400.110,C01,Infections
Bacteroides Infections,C01.150.252.400.110.109,C01,Infections
Bartonellaceae Infections,C01.150.252.400.126,C01,Infections
Bartonella Infections,C01.150.252.400.126.100,C01,Infections
"Angiomatosis, Bacillary",C01.150.252.400.126.100.075,C01,Infections
Cat-Scratch Disease,C01.150.252.400.126.100.150,C01,Infections
Trench Fever,C01.150.252.400.126.100.800,C01,Infections
Bordetella Infections,C01.150.252.400.143,C01,Infections
Whooping Cough,C01.150.252.400.143.500,C01,Infections
Brucellosis,C01.150.252.400.167,C01,Infections
"Brucellosis, Bovine",C01.150.252.400.167.322,C01,Infections
Burkholderia Infections,C01.150.252.400.170,C01,Infections
Glanders,C01.150.252.400.170.400,C01,Infections
Melioidosis,C01.150.252.400.170.531,C01,Infections
Campylobacter Infections,C01.150.252.400.177,C01,Infections
Chlamydiaceae Infections,C01.150.252.400.210,C01,Infections
Chlamydia Infections,C01.150.252.400.210.125,C01,Infections
Chlamydial Pneumonia,C01.150.252.400.210.125.123,C01,Infections
"Conjunctivitis, Inclusion",C01.150.252.400.210.125.245,C01,Infections
Lymphogranuloma Venereum,C01.150.252.400.210.125.490,C01,Infections
Trachoma,C01.150.252.400.210.125.745,C01,Infections
Chlamydophila Infections,C01.150.252.400.210.250,C01,Infections
Chlamydial Pneumonia,C01.150.252.400.210.250.299,C01,Infections
Psittacosis,C01.150.252.400.210.250.600,C01,Infections
Cytophagaceae Infections,C01.150.252.400.245,C01,Infections
Desulfovibrionaceae Infections,C01.150.252.400.260,C01,Infections
Ehrlichiosis,C01.150.252.400.285,C01,Infections
Heartwater Disease,C01.150.252.400.285.500,C01,Infections
Enterobacteriaceae Infections,C01.150.252.400.310,C01,Infections
"Dysentery, Bacillary",C01.150.252.400.310.229,C01,Infections
Escherichia coli Infections,C01.150.252.400.310.330,C01,Infections
"Meningitis, Escherichia coli",C01.150.252.400.310.330.500,C01,Infections
Granuloma Inguinale,C01.150.252.400.310.417,C01,Infections
Klebsiella Infections,C01.150.252.400.310.503,C01,Infections
Rhinoscleroma,C01.150.252.400.310.503.500,C01,Infections
Proteus Infections,C01.150.252.400.310.708,C01,Infections
Salmonella Infections,C01.150.252.400.310.821,C01,Infections
Paratyphoid Fever,C01.150.252.400.310.821.438,C01,Infections
Salmonella Food Poisoning,C01.150.252.400.310.821.606,C01,Infections
"Salmonella Infections, Animal",C01.150.252.400.310.821.706,C01,Infections
Typhoid Fever,C01.150.252.400.310.821.873,C01,Infections
Serratia Infections,C01.150.252.400.310.850,C01,Infections
Yersinia Infections,C01.150.252.400.310.980,C01,Infections
Plague,C01.150.252.400.310.980.390,C01,Infections
Yersinia pseudotuberculosis Infections,C01.150.252.400.310.980.780,C01,Infections
Flavobacteriaceae Infections,C01.150.252.400.349,C01,Infections
Foot Rot,C01.150.252.400.369,C01,Infections
Fusobacteriaceae Infections,C01.150.252.400.388,C01,Infections
Fusobacterium Infections,C01.150.252.400.388.350,C01,Infections
"Gingivitis, Necrotizing Ulcerative",C01.150.252.400.388.350.350,C01,Infections
Lemierre Syndrome,C01.150.252.400.388.350.700,C01,Infections
Helicobacter Infections,C01.150.252.400.466,C01,Infections
Legionellosis,C01.150.252.400.500,C01,Infections
Legionnaires' Disease,C01.150.252.400.500.501,C01,Infections
Lyme Disease,C01.150.252.400.536,C01,Infections
Erythema Chronicum Migrans,C01.150.252.400.536.400,C01,Infections
Lyme Neuroborreliosis,C01.150.252.400.536.700,C01,Infections
Post-Lyme Disease Syndrome,C01.150.252.400.536.850,C01,Infections
Moraxellaceae Infections,C01.150.252.400.560,C01,Infections
Acinetobacter Infections,C01.150.252.400.560.022,C01,Infections
Mycoplasmatales Infections,C01.150.252.400.610,C01,Infections
Mycoplasma Infections,C01.150.252.400.610.610,C01,Infections
"Pleuropneumonia, Contagious",C01.150.252.400.610.610.717,C01,Infections
"Pneumonia, Mycoplasma",C01.150.252.400.610.610.760,C01,Infections
Ureaplasma Infections,C01.150.252.400.610.850,C01,Infections
Neisseriaceae Infections,C01.150.252.400.625,C01,Infections
Gonorrhea,C01.150.252.400.625.275,C01,Infections
Meningococcal Infections,C01.150.252.400.625.549,C01,Infections
"Meningitis, Meningococcal",C01.150.252.400.625.549.449,C01,Infections
Waterhouse-Friderichsen Syndrome,C01.150.252.400.625.549.449.800,C01,Infections
Ophthalmia Neonatorum,C01.150.252.400.625.774,C01,Infections
Pasteurellaceae Infections,C01.150.252.400.700,C01,Infections
Actinobacillus Infections,C01.150.252.400.700.030,C01,Infections
Actinobacillosis,C01.150.252.400.700.030.178,C01,Infections
Haemophilus Infections,C01.150.252.400.700.433,C01,Infections
Chancroid,C01.150.252.400.700.433.308,C01,Infections
"Meningitis, Haemophilus",C01.150.252.400.700.433.615,C01,Infections
Pasteurella Infections,C01.150.252.400.700.662,C01,Infections
Hemorrhagic Septicemia,C01.150.252.400.700.662.500,C01,Infections
"Pasteurellosis, Pneumonic",C01.150.252.400.700.675,C01,Infections
Piscirickettsiaceae Infections,C01.150.252.400.719,C01,Infections
Pseudomonas Infections,C01.150.252.400.739,C01,Infections
Q Fever,C01.150.252.400.755,C01,Infections
Rat-Bite Fever,C01.150.252.400.771,C01,Infections
Rickettsiaceae Infections,C01.150.252.400.789,C01,Infections
"Pneumonia, Rickettsial",C01.150.252.400.789.600,C01,Infections
Rickettsia Infections,C01.150.252.400.789.725,C01,Infections
Spotted Fever Group Rickettsiosis,C01.150.252.400.789.725.400,C01,Infections
Boutonneuse Fever,C01.150.252.400.789.725.400.250,C01,Infections
Rocky Mountain Spotted Fever,C01.150.252.400.789.725.400.500,C01,Infections
"Typhus, Endemic Flea-Borne",C01.150.252.400.789.725.800,C01,Infections
"Typhus, Epidemic Louse-Borne",C01.150.252.400.789.725.805,C01,Infections
Scrub Typhus,C01.150.252.400.789.850,C01,Infections
Spirochaetales Infections,C01.150.252.400.794,C01,Infections
Borrelia Infections,C01.150.252.400.794.352,C01,Infections
Lyme Disease,C01.150.252.400.794.352.250,C01,Infections
Erythema Chronicum Migrans,C01.150.252.400.794.352.250.400,C01,Infections
Lyme Neuroborreliosis,C01.150.252.400.794.352.250.700,C01,Infections
Post-Lyme Disease Syndrome,C01.150.252.400.794.352.250.850,C01,Infections
Relapsing Fever,C01.150.252.400.794.352.500,C01,Infections
Leptospirosis,C01.150.252.400.794.511,C01,Infections
Weil Disease,C01.150.252.400.794.511.739,C01,Infections
Treponemal Infections,C01.150.252.400.794.840,C01,Infections
Pinta,C01.150.252.400.794.840.250,C01,Infections
Syphilis,C01.150.252.400.794.840.500,C01,Infections
Chancre,C01.150.252.400.794.840.500.500,C01,Infections
Neurosyphilis,C01.150.252.400.794.840.500.750,C01,Infections
Tabes Dorsalis,C01.150.252.400.794.840.500.750.800,C01,Infections
"Syphilis, Cardiovascular",C01.150.252.400.794.840.500.875,C01,Infections
"Syphilis, Congenital",C01.150.252.400.794.840.500.937,C01,Infections
"Syphilis, Cutaneous",C01.150.252.400.794.840.500.968,C01,Infections
"Syphilis, Latent",C01.150.252.400.794.840.500.984,C01,Infections
Yaws,C01.150.252.400.794.840.750,C01,Infections
Treponemal Infections,C01.150.252.400.840,C01,Infections
Pinta,C01.150.252.400.840.250,C01,Infections
Syphilis,C01.150.252.400.840.500,C01,Infections
Chancre,C01.150.252.400.840.500.500,C01,Infections
Neurosyphilis,C01.150.252.400.840.500.750,C01,Infections
Tabes Dorsalis,C01.150.252.400.840.500.750.800,C01,Infections
"Syphilis, Cardiovascular",C01.150.252.400.840.500.875,C01,Infections
"Syphilis, Congenital",C01.150.252.400.840.500.937,C01,Infections
"Syphilis, Cutaneous",C01.150.252.400.840.500.968,C01,Infections
"Syphilis, Latent",C01.150.252.400.840.500.984,C01,Infections
Yaws,C01.150.252.400.840.750,C01,Infections
Tularemia,C01.150.252.400.900,C01,Infections
Vibrio Infections,C01.150.252.400.959,C01,Infections
Cholera,C01.150.252.400.959.347,C01,Infections
Gram-Positive Bacterial Infections,C01.150.252.410,C01,Infections
Actinomycetales Infections,C01.150.252.410.040,C01,Infections
Actinomycosis,C01.150.252.410.040.137,C01,Infections
"Actinomycosis, Cervicofacial",C01.150.252.410.040.137.316,C01,Infections
Whipple Disease,C01.150.252.410.040.137.631,C01,Infections
Corynebacterium Infections,C01.150.252.410.040.246,C01,Infections
Diphtheria,C01.150.252.410.040.246.388,C01,Infections
Erythrasma,C01.150.252.410.040.246.694,C01,Infections
Mycobacterium Infections,C01.150.252.410.040.552,C01,Infections
"Mycobacterium Infections, Nontuberculous",C01.150.252.410.040.552.475,C01,Infections
Buruli Ulcer,C01.150.252.410.040.552.475.247,C01,Infections
Leprosy,C01.150.252.410.040.552.475.371,C01,Infections
"Leprosy, Multibacillary",C01.150.252.410.040.552.475.371.775,C01,Infections
"Leprosy, Lepromatous",C01.150.252.410.040.552.475.371.775.500,C01,Infections
"Leprosy, Paucibacillary",C01.150.252.410.040.552.475.371.850,C01,Infections
"Leprosy, Borderline",C01.150.252.410.040.552.475.371.850.249,C01,Infections
"Leprosy, Tuberculoid",C01.150.252.410.040.552.475.371.850.500,C01,Infections
Mycobacterium avium-intracellulare Infection,C01.150.252.410.040.552.475.495,C01,Infections
Paratuberculosis,C01.150.252.410.040.552.475.747,C01,Infections
Tuberculosis,C01.150.252.410.040.552.846,C01,Infections
Latent Tuberculosis,C01.150.252.410.040.552.846.122,C01,Infections
"Peritonitis, Tuberculous",C01.150.252.410.040.552.846.308,C01,Infections
Tuberculoma,C01.150.252.410.040.552.846.493,C01,Infections
"Tuberculoma, Intracranial",C01.150.252.410.040.552.846.493.400,C01,Infections
"Tuberculosis, Avian",C01.150.252.410.040.552.846.516,C01,Infections
"Tuberculosis, Bovine",C01.150.252.410.040.552.846.538,C01,Infections
"Tuberculosis, Cardiovascular",C01.150.252.410.040.552.846.554,C01,Infections
"Pericarditis, Tuberculous",C01.150.252.410.040.552.846.554.595,C01,Infections
"Tuberculosis, Central Nervous System",C01.150.252.410.040.552.846.570,C01,Infections
"Tuberculoma, Intracranial",C01.150.252.410.040.552.846.570.300,C01,Infections
"Tuberculosis, Meningeal",C01.150.252.410.040.552.846.570.600,C01,Infections
"Tuberculosis, Cutaneous",C01.150.252.410.040.552.846.588,C01,Infections
"Tuberculosis, Endocrine",C01.150.252.410.040.552.846.606,C01,Infections
"Tuberculosis, Gastrointestinal",C01.150.252.410.040.552.846.628,C01,Infections
"Tuberculosis, Hepatic",C01.150.252.410.040.552.846.651,C01,Infections
"Tuberculosis, Laryngeal",C01.150.252.410.040.552.846.696,C01,Infections
"Tuberculosis, Lymph Node",C01.150.252.410.040.552.846.719,C01,Infections
King's Evil,C01.150.252.410.040.552.846.719.500,C01,Infections
"Tuberculosis, Miliary",C01.150.252.410.040.552.846.764,C01,Infections
"Tuberculosis, Multidrug-Resistant",C01.150.252.410.040.552.846.775,C01,Infections
Extensively Drug-Resistant Tuberculosis,C01.150.252.410.040.552.846.775.500,C01,Infections
"Tuberculosis, Oral",C01.150.252.410.040.552.846.809,C01,Infections
"Tuberculosis, Osteoarticular",C01.150.252.410.040.552.846.843,C01,Infections
"Tuberculosis, Spinal",C01.150.252.410.040.552.846.843.722,C01,Infections
"Tuberculosis, Pleural",C01.150.252.410.040.552.846.877,C01,Infections
"Tuberculosis, Pulmonary",C01.150.252.410.040.552.846.899,C01,Infections
Silicotuberculosis,C01.150.252.410.040.552.846.899.669,C01,Infections
"Tuberculosis, Splenic",C01.150.252.410.040.552.846.922,C01,Infections
"Tuberculosis, Urogenital",C01.150.252.410.040.552.846.944,C01,Infections
"Tuberculosis, Female Genital",C01.150.252.410.040.552.846.944.596,C01,Infections
"Tuberculosis, Male Genital",C01.150.252.410.040.552.846.944.721,C01,Infections
"Tuberculosis, Renal",C01.150.252.410.040.552.846.944.847,C01,Infections
Nocardia Infections,C01.150.252.410.040.692,C01,Infections
Mycetoma,C01.150.252.410.040.692.500,C01,Infections
Bacillaceae Infections,C01.150.252.410.090,C01,Infections
Anthrax,C01.150.252.410.090.072,C01,Infections
Bifidobacteriales Infections,C01.150.252.410.110,C01,Infections
Clostridium Infections,C01.150.252.410.222,C01,Infections
Botulism,C01.150.252.410.222.151,C01,Infections
"Enterocolitis, Pseudomembranous",C01.150.252.410.222.310,C01,Infections
Enterotoxemia,C01.150.252.410.222.325,C01,Infections
Gas Gangrene,C01.150.252.410.222.440,C01,Infections
Tetanus,C01.150.252.410.222.864,C01,Infections
Erysipelothrix Infections,C01.150.252.410.334,C01,Infections
Erysipeloid,C01.150.252.410.334.329,C01,Infections
Swine Erysipelas,C01.150.252.410.334.776,C01,Infections
Listeriosis,C01.150.252.410.514,C01,Infections
"Meningitis, Listeria",C01.150.252.410.514.533,C01,Infections
Staphylococcal Infections,C01.150.252.410.868,C01,Infections
"Pneumonia, Staphylococcal",C01.150.252.410.868.675,C01,Infections
Staphylococcal Food Poisoning,C01.150.252.410.868.806,C01,Infections
Staphylococcal Skin Infections,C01.150.252.410.868.951,C01,Infections
Furunculosis,C01.150.252.410.868.951.270,C01,Infections
Carbuncle,C01.150.252.410.868.951.270.200,C01,Infections
Impetigo,C01.150.252.410.868.951.360,C01,Infections
Staphylococcal Scalded Skin Syndrome,C01.150.252.410.868.951.770,C01,Infections
Streptococcal Infections,C01.150.252.410.890,C01,Infections
Ecthyma,C01.150.252.410.890.168,C01,Infections
"Endocarditis, Subacute Bacterial",C01.150.252.410.890.335,C01,Infections
Erysipelas,C01.150.252.410.890.503,C01,Infections
Impetigo,C01.150.252.410.890.587,C01,Infections
Pneumococcal Infections,C01.150.252.410.890.670,C01,Infections
"Meningitis, Pneumococcal",C01.150.252.410.890.670.595,C01,Infections
"Pneumonia, Pneumococcal",C01.150.252.410.890.670.750,C01,Infections
Rheumatic Fever,C01.150.252.410.890.731,C01,Infections
Rheumatic Heart Disease,C01.150.252.410.890.731.649,C01,Infections
Scarlet Fever,C01.150.252.410.890.823,C01,Infections
"Pneumonia, Bacterial",C01.150.252.620,C01,Infections
Chlamydial Pneumonia,C01.150.252.620.249,C01,Infections
"Pneumonia of Calves, Enzootic",C01.150.252.620.300,C01,Infections
"Pneumonia of Swine, Mycoplasmal",C01.150.252.620.330,C01,Infections
"Pneumonia, Mycoplasma",C01.150.252.620.500,C01,Infections
"Pneumonia, Pneumococcal",C01.150.252.620.550,C01,Infections
"Pneumonia, Staphylococcal",C01.150.252.620.620,C01,Infections
"Sexually Transmitted Diseases, Bacterial",C01.150.252.734,C01,Infections
Chancroid,C01.150.252.734.201,C01,Infections
Chlamydia Infections,C01.150.252.734.301,C01,Infections
Lymphogranuloma Venereum,C01.150.252.734.301.490,C01,Infections
Gonorrhea,C01.150.252.734.401,C01,Infections
Granuloma Inguinale,C01.150.252.734.451,C01,Infections
Syphilis,C01.150.252.734.859,C01,Infections
"Skin Diseases, Bacterial",C01.150.252.819,C01,Infections
"Actinomycosis, Cervicofacial",C01.150.252.819.110,C01,Infections
"Angiomatosis, Bacillary",C01.150.252.819.150,C01,Infections
Digital Dermatitis,C01.150.252.819.180,C01,Infections
Ecthyma,C01.150.252.819.210,C01,Infections
Erysipelas,C01.150.252.819.260,C01,Infections
Erythema Chronicum Migrans,C01.150.252.819.310,C01,Infections
Erythrasma,C01.150.252.819.320,C01,Infections
Granuloma Inguinale,C01.150.252.819.360,C01,Infections
Hidradenitis Suppurativa,C01.150.252.819.420,C01,Infections
Mycetoma,C01.150.252.819.557,C01,Infections
Pinta,C01.150.252.819.630,C01,Infections
Rhinoscleroma,C01.150.252.819.705,C01,Infections
Staphylococcal Skin Infections,C01.150.252.819.770,C01,Infections
Furunculosis,C01.150.252.819.770.270,C01,Infections
Carbuncle,C01.150.252.819.770.270.200,C01,Infections
Impetigo,C01.150.252.819.770.360,C01,Infections
Staphylococcal Scalded Skin Syndrome,C01.150.252.819.770.770,C01,Infections
"Syphilis, Cutaneous",C01.150.252.819.790,C01,Infections
"Tuberculosis, Cutaneous",C01.150.252.819.820,C01,Infections
Erythema Induratum,C01.150.252.819.820.260,C01,Infections
Lupus Vulgaris,C01.150.252.819.820.470,C01,Infections
Yaws,C01.150.252.819.910,C01,Infections
"Vaginosis, Bacterial",C01.150.252.954,C01,Infections
Mycoses,C01.150.703,C01,Infections
Aspergillosis,C01.150.703.080,C01,Infections
Neuroaspergillosis,C01.150.703.080.537,C01,Infections
Pulmonary Aspergillosis,C01.150.703.080.768,C01,Infections
"Aspergillosis, Allergic Bronchopulmonary",C01.150.703.080.768.500,C01,Infections
Invasive Pulmonary Aspergillosis,C01.150.703.080.768.750,C01,Infections
Candidiasis,C01.150.703.160,C01,Infections
"Candidiasis, Chronic Mucocutaneous",C01.150.703.160.088,C01,Infections
"Candidiasis, Cutaneous",C01.150.703.160.132,C01,Infections
"Candidiasis, Invasive",C01.150.703.160.175,C01,Infections
Candidemia,C01.150.703.160.175.500,C01,Infections
"Candidiasis, Oral",C01.150.703.160.180,C01,Infections
"Candidiasis, Vulvovaginal",C01.150.703.160.190,C01,Infections
Central Nervous System Fungal Infections,C01.150.703.181,C01,Infections
"Meningitis, Fungal",C01.150.703.181.500,C01,Infections
"Meningitis, Cryptococcal",C01.150.703.181.500.500,C01,Infections
Coccidioidomycosis,C01.150.703.203,C01,Infections
Cryptococcosis,C01.150.703.248,C01,Infections
"Meningitis, Cryptococcal",C01.150.703.248.290,C01,Infections
Dermatomycoses,C01.150.703.302,C01,Infections
Blastomycosis,C01.150.703.302.055,C01,Infections
"Candidiasis, Chronic Mucocutaneous",C01.150.703.302.100,C01,Infections
"Candidiasis, Cutaneous",C01.150.703.302.105,C01,Infections
Chromoblastomycosis,C01.150.703.302.110,C01,Infections
Hyalohyphomycosis,C01.150.703.302.383,C01,Infections
Alternariosis,C01.150.703.302.383.125,C01,Infections
Cerebral Phaeohyphomycosis,C01.150.703.302.383.375,C01,Infections
Fusariosis,C01.150.703.302.383.500,C01,Infections
Lobomycosis,C01.150.703.302.475,C01,Infections
Mycetoma,C01.150.703.302.500,C01,Infections
Sporotrichosis,C01.150.703.302.675,C01,Infections
Tinea,C01.150.703.302.720,C01,Infections
Onychomycosis,C01.150.703.302.720.550,C01,Infections
Tinea Capitis,C01.150.703.302.720.730,C01,Infections
Tinea Favosa,C01.150.703.302.720.730.740,C01,Infections
Tinea cruris,C01.150.703.302.720.745,C01,Infections
Tinea Pedis,C01.150.703.302.720.760,C01,Infections
Tinea Versicolor,C01.150.703.302.860,C01,Infections
"Eye Infections, Fungal",C01.150.703.320,C01,Infections
"Uveitis, Suppurative",C01.150.703.320.900,C01,Infections
Panophthalmitis,C01.150.703.320.900.675,C01,Infections
Geotrichosis,C01.150.703.392,C01,Infections
Histoplasmosis,C01.150.703.450,C01,Infections
Invasive Fungal Infections,C01.150.703.492,C01,Infections
"Candidiasis, Invasive",C01.150.703.492.500,C01,Infections
Candidemia,C01.150.703.492.500.500,C01,Infections
Fungemia,C01.150.703.492.594,C01,Infections
Invasive Pulmonary Aspergillosis,C01.150.703.492.688,C01,Infections
Neuroaspergillosis,C01.150.703.492.750,C01,Infections
"Lung Diseases, Fungal",C01.150.703.534,C01,Infections
Blastomycosis,C01.150.703.534.350,C01,Infections
"Pneumonia, Pneumocystis",C01.150.703.534.700,C01,Infections
Pulmonary Aspergillosis,C01.150.703.534.850,C01,Infections
"Aspergillosis, Allergic Bronchopulmonary",C01.150.703.534.850.500,C01,Infections
Invasive Pulmonary Aspergillosis,C01.150.703.534.850.750,C01,Infections
Microsporidiosis,C01.150.703.617,C01,Infections
Encephalitozoonosis,C01.150.703.617.300,C01,Infections
Otomycosis,C01.150.703.658,C01,Infections
Paracoccidioidomycosis,C01.150.703.700,C01,Infections
Phaeohyphomycosis,C01.150.703.726,C01,Infections
Piedra,C01.150.703.753,C01,Infections
Pneumocystis Infections,C01.150.703.770,C01,Infections
"Pneumonia, Pneumocystis",C01.150.703.770.700,C01,Infections
Trichosporonosis,C01.150.703.875,C01,Infections
Zygomycosis,C01.150.703.980,C01,Infections
Mucormycosis,C01.150.703.980.600,C01,Infections
"Bone Diseases, Infectious",C01.160,C01,Infections
Osteomyelitis,C01.160.495,C01,Infections
Mastoiditis,C01.160.495.500,C01,Infections
Petrositis,C01.160.495.750,C01,Infections
Pott Puffy Tumor,C01.160.495.875,C01,Infections
Periostitis,C01.160.595,C01,Infections
Spondylitis,C01.160.762,C01,Infections
Discitis,C01.160.762.301,C01,Infections
"Tuberculosis, Osteoarticular",C01.160.886,C01,Infections
"Tuberculosis, Spinal",C01.160.886.722,C01,Infections
Cardiovascular Infections,C01.190,C01,Infections
"Endocarditis, Bacterial",C01.190.249,C01,Infections
"Endocarditis, Subacute Bacterial",C01.190.249.407,C01,Infections
"Syphilis, Cardiovascular",C01.190.500,C01,Infections
"Tuberculosis, Cardiovascular",C01.190.750,C01,Infections
"Pericarditis, Tuberculous",C01.190.750.595,C01,Infections
Catheter-Related Infections,C01.195,C01,Infections
Central Nervous System Infections,C01.207,C01,Infections
Brain Abscess,C01.207.090,C01,Infections
"Toxoplasmosis, Cerebral",C01.207.090.800,C01,Infections
Central Nervous System Bacterial Infections,C01.207.180,C01,Infections
Lyme Neuroborreliosis,C01.207.180.437,C01,Infections
"Meningitis, Bacterial",C01.207.180.500,C01,Infections
"Meningitis, Escherichia coli",C01.207.180.500.350,C01,Infections
"Meningitis, Haemophilus",C01.207.180.500.425,C01,Infections
"Meningitis, Listeria",C01.207.180.500.500,C01,Infections
"Meningitis, Meningococcal",C01.207.180.500.750,C01,Infections
Waterhouse-Friderichsen Syndrome,C01.207.180.500.750.500,C01,Infections
"Meningitis, Pneumococcal",C01.207.180.500.875,C01,Infections
"Tuberculosis, Meningeal",C01.207.180.500.937,C01,Infections
Neurosyphilis,C01.207.180.600,C01,Infections
Tabes Dorsalis,C01.207.180.600.800,C01,Infections
"Tuberculosis, Central Nervous System",C01.207.180.850,C01,Infections
"Tuberculoma, Intracranial",C01.207.180.850.400,C01,Infections
"Tuberculosis, Meningeal",C01.207.180.850.800,C01,Infections
Central Nervous System Fungal Infections,C01.207.198,C01,Infections
"Meningitis, Fungal",C01.207.198.500,C01,Infections
"Meningitis, Cryptococcal",C01.207.198.500.500,C01,Infections
Neuroaspergillosis,C01.207.198.750,C01,Infections
Central Nervous System Parasitic Infections,C01.207.205,C01,Infections
Central Nervous System Helminthiasis,C01.207.205.250,C01,Infections
Neurocysticercosis,C01.207.205.250.550,C01,Infections
Neuroschistosomiasis,C01.207.205.250.600,C01,Infections
Central Nervous System Protozoal Infections,C01.207.205.300,C01,Infections
"Malaria, Cerebral",C01.207.205.300.500,C01,Infections
"Toxoplasmosis, Cerebral",C01.207.205.300.800,C01,Infections
"Toxoplasmosis, Congenital",C01.207.205.300.900,C01,Infections
Central Nervous System Viral Diseases,C01.207.245,C01,Infections
Cerebral Ventriculitis,C01.207.245.169,C01,Infections
"Encephalitis, Viral",C01.207.245.340,C01,Infections
"Encephalitis, Arbovirus",C01.207.245.340.300,C01,Infections
"Encephalitis, California",C01.207.245.340.300.200,C01,Infections
"Encephalitis, Japanese",C01.207.245.340.300.400,C01,Infections
"Encephalitis, St. Louis",C01.207.245.340.300.550,C01,Infections
"Encephalitis, Tick-Borne",C01.207.245.340.300.775,C01,Infections
West Nile Fever,C01.207.245.340.300.887,C01,Infections
"Encephalitis, Herpes Simplex",C01.207.245.340.350,C01,Infections
"Encephalitis, Varicella Zoster",C01.207.245.340.400,C01,Infections
"Encephalomyelitis, Equine",C01.207.245.340.450,C01,Infections
"Encephalomyelitis, Eastern Equine",C01.207.245.340.450.200,C01,Infections
"Encephalomyelitis, Venezuelan Equine",C01.207.245.340.450.600,C01,Infections
"Encephalomyelitis, Western Equine",C01.207.245.340.450.800,C01,Infections
"Leukoencephalopathy, Progressive Multifocal",C01.207.245.340.500,C01,Infections
Subacute Sclerosing Panencephalitis,C01.207.245.340.600,C01,Infections
"Meningitis, Viral",C01.207.245.500,C01,Infections
Lymphocytic Choriomeningitis,C01.207.245.500.500,C01,Infections
Meningoencephalitis,C01.207.245.550,C01,Infections
"Lupus Vasculitis, Central Nervous System",C01.207.245.550.500,C01,Infections
Limbic Encephalitis,C01.207.245.700,C01,Infections
Pseudorabies,C01.207.245.710,C01,Infections
Encephalomyelitis,C01.207.291,C01,Infections
"Encephalomyelitis, Equine",C01.207.291.323,C01,Infections
"Encephalomyelitis, Eastern Equine",C01.207.291.323.162,C01,Infections
"Encephalomyelitis, Venezuelan Equine",C01.207.291.323.325,C01,Infections
"Encephalomyelitis, Western Equine",C01.207.291.323.662,C01,Infections
Epidural Abscess,C01.207.300,C01,Infections
Infectious Encephalitis,C01.207.399,C01,Infections
"Encephalitis, Viral",C01.207.399.750,C01,Infections
"Encephalitis, Arbovirus",C01.207.399.750.300,C01,Infections
"Encephalitis, California",C01.207.399.750.300.200,C01,Infections
