nct_id,downcase_mesh_term,mesh_type
NCT01339026,pathologic processes,mesh-ancestor
NCT01339026,myocardial ischemia,mesh-ancestor
NCT01339026,heart diseases,mesh-ancestor
NCT01339026,vascular diseases,mesh-ancestor
NCT02820519,neuralgia,mesh-list
NCT02820519,peripheral nervous system diseases,mesh-ancestor
NCT02820519,neuromuscular diseases,mesh-ancestor
NCT02820519,nervous system diseases,mesh-ancestor
NCT02820519,pain,mesh-ancestor
NCT02820519,neurologic manifestations,mesh-ancestor
NCT01362582,pancreatic neoplasms,mesh-list
NCT01362582,digestive system neoplasms,mesh-ancestor
NCT01362582,neoplasms by site,mesh-ancestor
NCT01362582,neoplasms,mesh-ancestor
NCT01362582,endocrine gland neoplasms,mesh-ancestor
NCT01362582,digestive system diseases,mesh-ancestor
NCT01362582,pancreatic diseases,mesh-ancestor
NCT01362582,endocrine system diseases,mesh-ancestor
NCT01367691,heart failure,mesh-list
NCT01367691,heart diseases,mesh-ancestor
NCT01367691,cardiovascular diseases,mesh-ancestor
NCT01567956,colitis,mesh-list
NCT01567956,"colitis, ulcerative",mesh-list
NCT01567956,ulcer,mesh-list
NCT01567956,gastroenteritis,mesh-ancestor
NCT01567956,gastrointestinal diseases,mesh-ancestor
NCT01567956,digestive system diseases,mesh-ancestor
NCT01567956,colonic diseases,mesh-ancestor
NCT01567956,intestinal diseases,mesh-ancestor
NCT01567956,pathologic processes,mesh-ancestor
NCT01567956,inflammatory bowel diseases,mesh-ancestor
NCT01374789,urinary bladder neoplasms,mesh-list
NCT01374789,urologic neoplasms,mesh-ancestor
NCT01374789,urogenital neoplasms,mesh-ancestor
NCT01374789,neoplasms by site,mesh-ancestor
NCT01374789,neoplasms,mesh-ancestor
NCT01374789,urinary bladder diseases,mesh-ancestor
NCT01374789,urologic diseases,mesh-ancestor
NCT01363921,renal insufficiency,mesh-list
NCT01363921,"kidney failure, chronic",mesh-list
NCT01363921,cardiovascular diseases,mesh-list
NCT01363921,kidney diseases,mesh-ancestor
NCT01363921,urologic diseases,mesh-ancestor
NCT01363921,"renal insufficiency, chronic",mesh-ancestor
NCT02139098,sleep initiation and maintenance disorders,mesh-list
NCT02139098,"sleep disorders, intrinsic",mesh-ancestor
NCT02139098,dyssomnias,mesh-ancestor
NCT02139098,sleep wake disorders,mesh-ancestor
NCT02139098,nervous system diseases,mesh-ancestor
NCT02139098,mental disorders,mesh-ancestor
NCT00879229,"hypertension, pulmonary",mesh-list
NCT00879229,pulmonary fibrosis,mesh-list
NCT00879229,idiopathic pulmonary fibrosis,mesh-list
NCT00879229,hypertension,mesh-list
NCT00879229,fibrosis,mesh-list
NCT00879229,vascular diseases,mesh-ancestor
NCT00879229,cardiovascular diseases,mesh-ancestor
NCT00879229,pathologic processes,mesh-ancestor
NCT00879229,lung diseases,mesh-ancestor
NCT00879229,respiratory tract diseases,mesh-ancestor
NCT00682747,xerostomia,mesh-list
NCT00682747,salivary gland diseases,mesh-ancestor
NCT00682747,mouth diseases,mesh-ancestor
NCT00682747,stomatognathic diseases,mesh-ancestor
NCT00612898,infections,mesh-list
NCT00612898,hiv infections,mesh-list
NCT00612898,acquired immunodeficiency syndrome,mesh-list
NCT00612898,communicable diseases,mesh-ancestor
NCT00612898,blood-borne infections,mesh-ancestor
NCT00612898,"sexually transmitted diseases, viral",mesh-ancestor
NCT00612898,sexually transmitted diseases,mesh-ancestor
NCT00612898,lentivirus infections,mesh-ancestor
NCT00612898,retroviridae infections,mesh-ancestor
NCT00612898,rna virus infections,mesh-ancestor
NCT00612898,virus diseases,mesh-ancestor
NCT00612898,immunologic deficiency syndromes,mesh-ancestor
NCT00612898,immune system diseases,mesh-ancestor
NCT00612898,slow virus diseases,mesh-ancestor
NCT02058810,heart failure,mesh-list
NCT02058810,heart diseases,mesh-ancestor
NCT02058810,cardiovascular diseases,mesh-ancestor
NCT01199133,rhinitis,mesh-list
NCT01199133,"rhinitis, allergic",mesh-list
NCT01199133,respiratory tract infections,mesh-ancestor
NCT01199133,infections,mesh-ancestor
NCT01199133,nose diseases,mesh-ancestor
NCT01199133,respiratory tract diseases,mesh-ancestor
NCT01199133,otorhinolaryngologic diseases,mesh-ancestor
NCT01199133,respiratory hypersensitivity,mesh-ancestor
NCT01199133,"hypersensitivity, immediate",mesh-ancestor
NCT01199133,hypersensitivity,mesh-ancestor
NCT01199133,immune system diseases,mesh-ancestor
NCT02135926,brain diseases,mesh-ancestor
NCT02135926,stroke,mesh-list
NCT02135926,ischemic stroke,mesh-list
NCT02135926,cerebrovascular disorders,mesh-ancestor
NCT02135926,central nervous system diseases,mesh-ancestor
NCT02135926,nervous system diseases,mesh-ancestor
NCT02135926,vascular diseases,mesh-ancestor
NCT02135926,cardiovascular diseases,mesh-ancestor
NCT02140138,prostatic neoplasms,mesh-list
NCT02140138,"genital neoplasms, male",mesh-ancestor
NCT02140138,urogenital neoplasms,mesh-ancestor
NCT02140138,neoplasms by site,mesh-ancestor
NCT02140138,neoplasms,mesh-ancestor
NCT02140138,prostatic diseases,mesh-ancestor
NCT02198482,leukemia,mesh-list
NCT02198482,"leukemia, myeloid",mesh-list
NCT02198482,"leukemia, myeloid, acute",mesh-list
NCT02198482,preleukemia,mesh-list
NCT02198482,myelodysplastic syndromes,mesh-list
NCT02198482,syndrome,mesh-list
NCT02198482,disease,mesh-ancestor
NCT02198482,pathologic processes,mesh-ancestor
NCT02198482,neoplasms by histologic type,mesh-ancestor
NCT02198482,neoplasms,mesh-ancestor
NCT02198482,bone marrow diseases,mesh-ancestor
NCT02198482,hematologic diseases,mesh-ancestor
NCT02198482,precancerous conditions,mesh-ancestor
NCT01517776,glioma,mesh-list
NCT01517776,diffuse intrinsic pontine glioma,mesh-list
NCT01517776,"neoplasms, neuroepithelial",mesh-ancestor
NCT01517776,neuroectodermal tumors,mesh-ancestor
NCT01517776,"neoplasms, germ cell and embryonal",mesh-ancestor
NCT01517776,neoplasms by histologic type,mesh-ancestor
NCT01517776,neoplasms,mesh-ancestor
NCT01517776,"neoplasms, glandular and epithelial",mesh-ancestor
NCT01517776,"neoplasms, nerve tissue",mesh-ancestor
NCT01517776,brain stem neoplasms,mesh-ancestor
NCT01517776,infratentorial neoplasms,mesh-ancestor
NCT01517776,brain neoplasms,mesh-ancestor
NCT01517776,central nervous system neoplasms,mesh-ancestor
NCT01517776,nervous system neoplasms,mesh-ancestor
NCT01517776,neoplasms by site,mesh-ancestor
NCT01517776,brain diseases,mesh-ancestor
NCT01517776,central nervous system diseases,mesh-ancestor
NCT01517776,nervous system diseases,mesh-ancestor
NCT01759238,colorectal neoplasms,mesh-list
NCT01759238,neoplasm metastasis,mesh-list
NCT01759238,intestinal neoplasms,mesh-ancestor
NCT01759238,gastrointestinal neoplasms,mesh-ancestor
NCT01759238,digestive system neoplasms,mesh-ancestor
NCT01759238,neoplasms by site,mesh-ancestor
NCT01759238,neoplasms,mesh-ancestor
NCT01759238,digestive system diseases,mesh-ancestor
NCT01759238,gastrointestinal diseases,mesh-ancestor
NCT01759238,colonic diseases,mesh-ancestor
NCT01759238,intestinal diseases,mesh-ancestor
NCT01759238,rectal diseases,mesh-ancestor
NCT01759238,neoplastic processes,mesh-ancestor
NCT01759238,pathologic processes,mesh-ancestor
NCT00827008,tinnitus,mesh-list
NCT00827008,hearing disorders,mesh-ancestor
NCT00827008,ear diseases,mesh-ancestor
NCT00827008,otorhinolaryngologic diseases,mesh-ancestor
NCT00827008,sensation disorders,mesh-ancestor
NCT00827008,neurologic manifestations,mesh-ancestor
NCT00827008,nervous system diseases,mesh-ancestor
NCT01021202,lung diseases,mesh-list
NCT01021202,"lung diseases, obstructive",mesh-list
NCT01021202,"pulmonary disease, chronic obstructive",mesh-list
NCT01021202,respiratory tract diseases,mesh-ancestor
NCT01240694,"lupus erythematosus, systemic",mesh-list
NCT01240694,connective tissue diseases,mesh-ancestor
NCT01240694,autoimmune diseases,mesh-ancestor
NCT01240694,immune system diseases,mesh-ancestor
NCT01340690,attention deficit disorder with hyperactivity,mesh-list
NCT01340690,attention deficit and disruptive behavior disorders,mesh-ancestor
NCT01340690,neurodevelopmental disorders,mesh-ancestor
NCT01340690,mental disorders,mesh-ancestor
NCT01352702,atrial fibrillation,mesh-list
NCT01352702,heart diseases,mesh-list
NCT01352702,acute coronary syndrome,mesh-list
NCT01352702,atherosclerosis,mesh-list
NCT01352702,coronary disease,mesh-list
NCT01352702,coronary artery disease,mesh-list
NCT01352702,myocardial ischemia,mesh-list
NCT01352702,"arrhythmias, cardiac",mesh-ancestor
NCT01352702,cardiovascular diseases,mesh-ancestor
NCT01352702,pathologic processes,mesh-ancestor
NCT01352702,vascular diseases,mesh-ancestor
NCT01352702,arteriosclerosis,mesh-ancestor
NCT01352702,arterial occlusive diseases,mesh-ancestor
NCT01266187,neoplasm metastasis,mesh-list
NCT01266187,liver neoplasms,mesh-list
NCT01266187,neoplastic processes,mesh-ancestor
NCT01266187,neoplasms,mesh-ancestor
NCT01266187,pathologic processes,mesh-ancestor
NCT01266187,digestive system neoplasms,mesh-ancestor
NCT01266187,neoplasms by site,mesh-ancestor
NCT01266187,digestive system diseases,mesh-ancestor
NCT01266187,liver diseases,mesh-ancestor
NCT00806468,parkinson disease,mesh-list
NCT01101906,carcinoma,mesh-list
NCT01101906,"carcinoma, hepatocellular",mesh-list
NCT01101906,"neoplasms, glandular and epithelial",mesh-ancestor
NCT01101906,neoplasms by histologic type,mesh-ancestor
NCT01101906,neoplasms,mesh-ancestor
NCT01101906,adenocarcinoma,mesh-ancestor
NCT01101906,liver neoplasms,mesh-ancestor
NCT01101906,digestive system neoplasms,mesh-ancestor
NCT01101906,neoplasms by site,mesh-ancestor
NCT01101906,digestive system diseases,mesh-ancestor
NCT01101906,liver diseases,mesh-ancestor
NCT00522834,melanoma,mesh-list
NCT00522834,neuroendocrine tumors,mesh-ancestor
NCT00522834,neuroectodermal tumors,mesh-ancestor
NCT00522834,"neoplasms, germ cell and embryonal",mesh-ancestor
NCT00522834,neoplasms by histologic type,mesh-ancestor
NCT00522834,neoplasms,mesh-ancestor
NCT00522834,"neoplasms, nerve tissue",mesh-ancestor
NCT00522834,nevi and melanomas,mesh-ancestor
NCT02157363,esophageal neoplasms,mesh-list
NCT02157363,gastrointestinal neoplasms,mesh-ancestor
NCT02157363,digestive system neoplasms,mesh-ancestor
NCT02157363,neoplasms by site,mesh-ancestor
NCT02157363,neoplasms,mesh-ancestor
NCT02157363,head and neck neoplasms,mesh-ancestor
NCT02157363,digestive system diseases,mesh-ancestor
NCT02157363,esophageal diseases,mesh-ancestor
NCT02157363,gastrointestinal diseases,mesh-ancestor
NCT02488694,lung neoplasms,mesh-list
NCT02488694,"carcinoma, non-small-cell lung",mesh-list
NCT02488694,respiratory tract neoplasms,mesh-ancestor
NCT02488694,thoracic neoplasms,mesh-ancestor
NCT02488694,neoplasms by site,mesh-ancestor
NCT02488694,neoplasms,mesh-ancestor
NCT02488694,lung diseases,mesh-ancestor
NCT02488694,respiratory tract diseases,mesh-ancestor
NCT02488694,"carcinoma, bronchogenic",mesh-ancestor
NCT02488694,bronchial neoplasms,mesh-ancestor
NCT00940095,subarachnoid hemorrhage,mesh-list
NCT00940095,hemorrhage,mesh-list
NCT00940095,pathologic processes,mesh-ancestor
NCT00940095,intracranial hemorrhages,mesh-ancestor
NCT00940095,cerebrovascular disorders,mesh-ancestor
NCT00940095,brain diseases,mesh-ancestor
NCT00940095,central nervous system diseases,mesh-ancestor
NCT00940095,nervous system diseases,mesh-ancestor
NCT00940095,vascular diseases,mesh-ancestor
NCT00940095,cardiovascular diseases,mesh-ancestor
NCT00529503,lymphoma,mesh-list
NCT00529503,"lymphoma, non-hodgkin",mesh-list
NCT00529503,"lymphoma, large b-cell, diffuse",mesh-list
NCT00529503,neoplasms by histologic type,mesh-ancestor
NCT00529503,neoplasms,mesh-ancestor
NCT00529503,lymphoproliferative disorders,mesh-ancestor
NCT00529503,lymphatic diseases,mesh-ancestor
NCT00529503,immunoproliferative disorders,mesh-ancestor
NCT00529503,immune system diseases,mesh-ancestor
NCT00529503,"lymphoma, b-cell",mesh-ancestor
NCT02372318,alcoholism,mesh-list
NCT02372318,alcohol-related disorders,mesh-ancestor
NCT02372318,substance-related disorders,mesh-ancestor
NCT02372318,chemically-induced disorders,mesh-ancestor
NCT02372318,mental disorders,mesh-ancestor
NCT00564993,heart diseases,mesh-ancestor
NCT00690118,motor neuron disease,mesh-list
NCT00690118,amyotrophic lateral sclerosis,mesh-list
NCT00690118,sclerosis,mesh-list
NCT00690118,pathologic processes,mesh-ancestor
NCT00690118,neurodegenerative diseases,mesh-ancestor
NCT00690118,nervous system diseases,mesh-ancestor
NCT00690118,neuromuscular diseases,mesh-ancestor
NCT00690118,spinal cord diseases,mesh-ancestor
NCT00690118,central nervous system diseases,mesh-ancestor
NCT02818959,cardiovascular diseases,mesh-list
NCT02818959,heart diseases,mesh-list
NCT02818959,aortic valve stenosis,mesh-list
NCT02818959,heart valve diseases,mesh-list
NCT01023269,mental disorders,mesh-ancestor
NCT01023269,urinary bladder diseases,mesh-ancestor
NCT00895297,hematologic diseases,mesh-ancestor
NCT02726048,"lung diseases, obstructive",mesh-list
NCT02726048,sleep wake disorders,mesh-ancestor
NCT02726048,nervous system diseases,mesh-ancestor
NCT02726048,respiratory insufficiency,mesh-ancestor
NCT02726048,"signs and symptoms, respiratory",mesh-ancestor
NCT02726048,obesity,mesh-ancestor
NCT02726048,overnutrition,mesh-ancestor
NCT02726048,nutrition disorders,mesh-ancestor
NCT00618384,"carcinoma, hepatocellular",mesh-list
NCT00618384,"neoplasms, glandular and epithelial",mesh-ancestor
NCT00618384,neoplasms by histologic type,mesh-ancestor
NCT00618384,neoplasms,mesh-ancestor
NCT00618384,adenocarcinoma,mesh-ancestor
NCT00618384,liver neoplasms,mesh-ancestor
NCT00618384,digestive system neoplasms,mesh-ancestor
NCT00618384,neoplasms by site,mesh-ancestor
NCT00618384,digestive system diseases,mesh-ancestor
NCT00618384,liver diseases,mesh-ancestor
NCT00640679,coronary artery disease,mesh-list
NCT00640679,coronary disease,mesh-ancestor
NCT00640679,myocardial ischemia,mesh-ancestor
NCT00640679,heart diseases,mesh-ancestor
NCT00640679,cardiovascular diseases,mesh-ancestor
NCT00640679,arteriosclerosis,mesh-ancestor
NCT00640679,arterial occlusive diseases,mesh-ancestor
NCT00640679,vascular diseases,mesh-ancestor
NCT01775397,infections,mesh-list
NCT00626548,prostatic neoplasms,mesh-list
NCT00626548,"genital neoplasms, male",mesh-ancestor
NCT00626548,urogenital neoplasms,mesh-ancestor
NCT00626548,neoplasms by site,mesh-ancestor
NCT00626548,neoplasms,mesh-ancestor
NCT00626548,prostatic diseases,mesh-ancestor
NCT00850499,neoplasms by histologic type,mesh-ancestor
NCT00850499,neoplasms,mesh-ancestor
NCT00850499,lymphoproliferative disorders,mesh-ancestor
NCT00850499,lymphatic diseases,mesh-ancestor
NCT00850499,immunoproliferative disorders,mesh-ancestor
NCT00850499,immune system diseases,mesh-ancestor
NCT00850499,"lymphoma, non-hodgkin",mesh-ancestor
NCT01458015,pain,mesh-ancestor
NCT00717639,arteriosclerosis,mesh-ancestor
NCT00717639,peripheral vascular diseases,mesh-ancestor
NCT00723411,autoimmune diseases,mesh-ancestor
NCT00723411,immune system diseases,mesh-ancestor
NCT00753441,digestive system diseases,mesh-ancestor
NCT00753441,pancreatic diseases,mesh-ancestor
NCT00753441,endocrine system diseases,mesh-ancestor
NCT02424552,asthma,mesh-list
NCT00923234,leukemia,mesh-list
NCT00923234,preleukemia,mesh-list
NCT00923234,"leukemia, myeloid",mesh-list
NCT00923234,"leukemia, myeloid, acute",mesh-list
NCT00923234,myelodysplastic syndromes,mesh-list
NCT00923234,syndrome,mesh-list
NCT00923234,disease,mesh-ancestor
NCT00923234,pathologic processes,mesh-ancestor
NCT00923234,neoplasms by histologic type,mesh-ancestor
NCT00923234,neoplasms,mesh-ancestor
NCT00923234,bone marrow diseases,mesh-ancestor
NCT00711542,coronary artery disease,mesh-list
NCT00711542,myocardial infarction,mesh-list
NCT00711542,infarction,mesh-list
NCT00798525,thrombocytopenia,mesh-list
NCT00798525,critical illness,mesh-list
NCT00798525,disease attributes,mesh-ancestor
NCT00798525,pathologic processes,mesh-ancestor
NCT00798525,blood platelet disorders,mesh-ancestor
NCT00798525,hematologic diseases,mesh-ancestor
NCT01176214,cerebral hemorrhage,mesh-list
NCT01176214,hemorrhage,mesh-list
NCT01176214,pathologic processes,mesh-ancestor
NCT01176214,intracranial hemorrhages,mesh-ancestor
NCT01176214,cerebrovascular disorders,mesh-ancestor
NCT01176214,brain diseases,mesh-ancestor
NCT01289938,"metabolism, inborn errors",mesh-list
NCT01289938,"genetic diseases, inborn",mesh-ancestor
NCT01289938,metabolic diseases,mesh-ancestor
NCT01298830,cerebral hemorrhage,mesh-list
NCT01298830,pathologic processes,mesh-ancestor
NCT01298830,intracranial hemorrhages,mesh-ancestor
NCT01298830,cerebrovascular disorders,mesh-ancestor
NCT01298830,brain diseases,mesh-ancestor
NCT01298830,central nervous system diseases,mesh-ancestor
NCT01298830,nervous system diseases,mesh-ancestor
NCT01298830,vascular diseases,mesh-ancestor
NCT01298830,cardiovascular diseases,mesh-ancestor
NCT01111448,myelodysplastic syndromes,mesh-list
NCT01111448,disease,mesh-ancestor
NCT01111448,pathologic processes,mesh-ancestor
NCT01111448,bone marrow diseases,mesh-ancestor
NCT01111448,hematologic diseases,mesh-ancestor
NCT01111448,precancerous conditions,mesh-ancestor
NCT01111448,neoplasms,mesh-ancestor
NCT01109966,hypersensitivity,mesh-list
NCT01109966,food hypersensitivity,mesh-list
NCT01109966,immune system diseases,mesh-ancestor
NCT01109966,"hypersensitivity, immediate",mesh-ancestor
NCT03854942,alcoholism,mesh-list
NCT03854942,alcohol-related disorders,mesh-ancestor
NCT03854942,substance-related disorders,mesh-ancestor
NCT03854942,chemically-induced disorders,mesh-ancestor
NCT03854942,mental disorders,mesh-ancestor
NCT01297712,polyps,mesh-list
NCT01297712,colonic polyps,mesh-list
NCT01297712,"pathological conditions, anatomical",mesh-ancestor
NCT01297712,intestinal polyps,mesh-ancestor
NCT01320280,prostatic neoplasms,mesh-list
NCT01320280,"genital neoplasms, male",mesh-ancestor
NCT01320280,urogenital neoplasms,mesh-ancestor
NCT01320280,neoplasms by site,mesh-ancestor
NCT01320280,neoplasms,mesh-ancestor
NCT01320280,prostatic diseases,mesh-ancestor
NCT01370044,seizures,mesh-list
NCT01370044,"seizures, febrile",mesh-list
NCT01370044,hyperthermia,mesh-list
NCT01370044,fever,mesh-list
NCT01370044,neurologic manifestations,mesh-ancestor
NCT01370044,nervous system diseases,mesh-ancestor
NCT01370044,body temperature changes,mesh-ancestor
NCT01370044,heat stress disorders,mesh-ancestor
NCT01370044,wounds and injuries,mesh-ancestor
NCT00872547,"bone diseases, developmental",mesh-ancestor
NCT00872547,"epiphyses, slipped",mesh-ancestor
NCT02541357,gastrointestinal diseases,mesh-list
NCT02541357,digestive system diseases,mesh-list
NCT01060423,intestinal diseases,mesh-ancestor
NCT01060423,rectal diseases,mesh-ancestor
NCT00274651,lymphoma,mesh-list
NCT00274651,"lymphoma, non-hodgkin",mesh-list
NCT00274651,"lymphoma, t-cell",mesh-list
NCT02207582,depression,mesh-list
NCT02207582,depressive disorder,mesh-list
NCT02207582,behavioral symptoms,mesh-ancestor
NCT02207582,mood disorders,mesh-ancestor
NCT02207582,mental disorders,mesh-ancestor
NCT00833768,kidney diseases,mesh-list
NCT00833768,"renal insufficiency, chronic",mesh-list
NCT00833768,hyperphosphatemia,mesh-list
NCT00833768,urologic diseases,mesh-ancestor
NCT00718523,ovarian neoplasms,mesh-list
NCT00718523,"carcinoma, ovarian epithelial",mesh-list
NCT00718523,endocrine gland neoplasms,mesh-ancestor
NCT00718523,neoplasms by site,mesh-ancestor
NCT00718523,neoplasms,mesh-ancestor
NCT00718523,ovarian diseases,mesh-ancestor
NCT00718523,adnexal diseases,mesh-ancestor
NCT00718523,"genital neoplasms, female",mesh-ancestor
NCT00718523,urogenital neoplasms,mesh-ancestor
NCT00718523,endocrine system diseases,mesh-ancestor
NCT00718523,gonadal disorders,mesh-ancestor
NCT00718523,carcinoma,mesh-ancestor
NCT00718523,"neoplasms, glandular and epithelial",mesh-ancestor
NCT00718523,neoplasms by histologic type,mesh-ancestor
NCT00950274,coronary artery disease,mesh-list
NCT00950274,myocardial ischemia,mesh-list
NCT00950274,ischemia,mesh-list
NCT00950274,coronary disease,mesh-ancestor
NCT00950274,heart diseases,mesh-ancestor
NCT00950274,cardiovascular diseases,mesh-ancestor
NCT00950274,arteriosclerosis,mesh-ancestor
NCT00950274,arterial occlusive diseases,mesh-ancestor
NCT00950274,vascular diseases,mesh-ancestor
NCT00852059,attention deficit disorder with hyperactivity,mesh-list
NCT00852059,attention deficit and disruptive behavior disorders,mesh-ancestor
NCT00852059,neurodevelopmental disorders,mesh-ancestor
NCT00852059,mental disorders,mesh-ancestor
NCT00889343,colorectal neoplasms,mesh-list
NCT00889343,neoplasms,mesh-ancestor
NCT00889343,intestinal neoplasms,mesh-ancestor
NCT00889343,gastrointestinal neoplasms,mesh-ancestor
NCT00889343,digestive system neoplasms,mesh-ancestor
NCT00889343,neoplasms by site,mesh-ancestor
NCT00889343,digestive system diseases,mesh-ancestor
NCT00889343,gastrointestinal diseases,mesh-ancestor
NCT00889343,colonic diseases,mesh-ancestor
NCT00889343,intestinal diseases,mesh-ancestor
NCT00889343,rectal diseases,mesh-ancestor
NCT01061931,atrial fibrillation,mesh-list
NCT01061931,"arrhythmias, cardiac",mesh-ancestor
NCT01061931,heart diseases,mesh-ancestor
NCT01061931,cardiovascular diseases,mesh-ancestor
NCT01061931,pathologic processes,mesh-ancestor
NCT01067703,ischemia,mesh-list
NCT01067703,pathologic processes,mesh-ancestor
NCT01045512,inflammation,mesh-list
NCT01045512,pathologic processes,mesh-ancestor
NCT00958776,"influenza, human",mesh-list
NCT00958776,pharyngitis,mesh-list
NCT00958776,headache,mesh-list
NCT00958776,respiratory tract infections,mesh-ancestor
NCT00958776,infections,mesh-ancestor
NCT00958776,orthomyxoviridae infections,mesh-ancestor
NCT00958776,rna virus infections,mesh-ancestor
NCT00958776,virus diseases,mesh-ancestor
NCT00958776,respiratory tract diseases,mesh-ancestor
NCT00958776,pain,mesh-ancestor
NCT00958776,neurologic manifestations,mesh-ancestor
NCT01088308,"arrhythmias, cardiac",mesh-list
NCT01088308,tachycardia,mesh-list
NCT01088308,heart diseases,mesh-ancestor
